[2024-01-02 16:17:01,508][kospeech.utils][INFO] - audio:
  audio_extension: pcm
  sample_rate: 16000
  frame_length: 20
  frame_shift: 10
  normalize: true
  del_silence: true
  feature_extract_by: kaldi
  time_mask_num: 4
  freq_mask_num: 2
  spec_augment: true
  input_reverse: false
  transform_method: fbank
  n_mels: 80
  freq_mask_para: 18
model:
  architecture: deepspeech2
  teacher_forcing_ratio: 1.0
  teacher_forcing_step: 0.0
  min_teacher_forcing_ratio: 1.0
  dropout: 0.3
  bidirectional: false
  joint_ctc_attention: false
  max_len: 400
  use_bidirectional: true
  rnn_type: gru
  hidden_dim: 1024
  activation: hardtanh
  num_encoder_layers: 3
train:
  dataset: kspon
  dataset_path: /home/use08174/stt/kospeech/dataset/kspon/korean_audio/KSponSpeech
  transcripts_path: ../../../data/transcripts.txt
  output_unit: character
  batch_size: 32
  save_result_every: 1000
  checkpoint_every: 5000
  print_every: 10
  mode: train
  num_workers: 4
  use_cuda: true
  num_threads: 2
  init_lr_scale: 0.01
  final_lr_scale: 0.05
  max_grad_norm: 400
  weight_decay: 1.0e-05
  total_steps: 200000
  seed: 777
  resume: false
  optimizer: adam
  init_lr: 1.0e-06
  final_lr: 1.0e-06
  peak_lr: 0.0001
  warmup_steps: 400
  num_epochs: 70
  reduction: mean
  lr_scheduler: tri_stage_lr_scheduler

[2024-01-02 16:17:02,846][kospeech.utils][INFO] - Operating System : Linux 3.10.0-1160.15.2.el7.x86_64
[2024-01-02 16:17:02,847][kospeech.utils][INFO] - Processor : x86_64
[2024-01-02 16:17:02,858][kospeech.utils][INFO] - device : NVIDIA GeForce RTX 3090
[2024-01-02 16:17:02,858][kospeech.utils][INFO] - CUDA is available : True
[2024-01-02 16:17:02,858][kospeech.utils][INFO] - CUDA version : 12.1
[2024-01-02 16:17:02,858][kospeech.utils][INFO] - PyTorch version : 2.1.2+cu121
[2024-01-02 16:17:02,886][kospeech.utils][INFO] - split dataset start !!
[2024-01-02 16:17:03,314][kospeech.utils][INFO] - Applying Spec Augmentation...
[2024-01-02 16:17:03,342][kospeech.utils][INFO] - Applying Spec Augmentation...
[2024-01-02 16:17:03,370][kospeech.utils][INFO] - Applying Spec Augmentation...
[2024-01-02 16:17:03,519][kospeech.utils][INFO] - Applying Spec Augmentation...
[2024-01-02 16:17:03,545][kospeech.utils][INFO] - split dataset complete !!
[2024-01-02 16:17:08,215][kospeech.utils][INFO] - start
[2024-01-02 16:17:08,215][kospeech.utils][INFO] - Epoch 0 start
[2024-01-02 16:17:24,315][kospeech.utils][INFO] - step:   10/3624, loss: 33.917007, cer: 14.83, elapsed: 15.80s 0.26m 0.00h, lr: 0.000002
[2024-01-02 16:17:35,386][kospeech.utils][INFO] - step:   20/3624, loss: 18.634327, cer: 9.08, elapsed: 11.07s 0.45m 0.01h, lr: 0.000005
[2024-01-02 16:17:45,791][kospeech.utils][INFO] - step:   30/3624, loss: 9.155339, cer: 6.48, elapsed: 10.41s 0.62m 0.01h, lr: 0.000007
[2024-01-02 16:17:54,647][kospeech.utils][INFO] - step:   40/3624, loss: 10.388876, cer: 5.21, elapsed: 8.86s 0.77m 0.01h, lr: 0.000010
[2024-01-02 16:18:04,863][kospeech.utils][INFO] - step:   50/3624, loss: 7.878791, cer: 4.38, elapsed: 10.21s 0.94m 0.02h, lr: 0.000012
[2024-01-02 16:18:14,188][kospeech.utils][INFO] - step:   60/3624, loss: 6.267575, cer: 3.83, elapsed: 9.32s 1.09m 0.02h, lr: 0.000015
[2024-01-02 16:18:21,446][kospeech.utils][INFO] - step:   70/3624, loss: 5.997761, cer: 3.49, elapsed: 7.26s 1.22m 0.02h, lr: 0.000017
[2024-01-02 16:18:29,169][kospeech.utils][INFO] - step:   80/3624, loss: 5.516988, cer: 3.17, elapsed: 7.72s 1.34m 0.02h, lr: 0.000020
[2024-01-02 16:18:36,950][kospeech.utils][INFO] - step:   90/3624, loss: 5.299965, cer: 2.92, elapsed: 7.78s 1.47m 0.02h, lr: 0.000022
[2024-01-02 16:18:44,674][kospeech.utils][INFO] - step:  100/3624, loss: 5.100256, cer: 2.71, elapsed: 7.72s 1.60m 0.03h, lr: 0.000025
[2024-01-02 16:18:51,667][kospeech.utils][INFO] - step:  110/3624, loss: 4.833394, cer: 2.56, elapsed: 6.99s 1.72m 0.03h, lr: 0.000027
[2024-01-02 16:18:58,598][kospeech.utils][INFO] - step:  120/3624, loss: 4.620151, cer: 2.43, elapsed: 6.93s 1.83m 0.03h, lr: 0.000030
[2024-01-02 16:19:05,624][kospeech.utils][INFO] - step:  130/3624, loss: 4.446969, cer: 2.32, elapsed: 7.02s 1.95m 0.03h, lr: 0.000032
[2024-01-02 16:19:11,942][kospeech.utils][INFO] - step:  140/3624, loss: 4.724479, cer: 2.22, elapsed: 6.32s 2.06m 0.03h, lr: 0.000035
[2024-01-02 16:19:18,325][kospeech.utils][INFO] - step:  150/3624, loss: 4.645261, cer: 2.15, elapsed: 6.38s 2.16m 0.04h, lr: 0.000037
[2024-01-02 16:19:25,384][kospeech.utils][INFO] - step:  160/3624, loss: 4.407532, cer: 2.07, elapsed: 7.06s 2.28m 0.04h, lr: 0.000040
[2024-01-02 16:19:32,704][kospeech.utils][INFO] - step:  170/3624, loss: 4.324854, cer: 2.01, elapsed: 7.32s 2.40m 0.04h, lr: 0.000042
